In_season_foods,名称,カナ表記,別名,季節,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,備考
http://databasediv.com/foods/resource/#1011,さより,サヨリ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1012,めばる,メバル,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1013,やまめ,ヤマメ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1014,ひめます,ヒメマス,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1015,しらうお,シラウオ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1016,あさり,アサリ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1017,はまぐり,ハマグリ,,http://databasediv.com/foods/resource/#春,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,
http://databasediv.com/foods/resource/#1018,びわ,ビワ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1019,うめ,ウメ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1020,さくらんぼ,サクランボ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1021,もも,モモ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1022,すいか,スイカ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1023,きゅうり,キュウリ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1024,なす,ナス,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1025,トマト,トマト,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1026,ピーマン,ピーマン,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1027,とうもろこし,トウモロコシ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1028,オクラ,オクラ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1029,ニガウリ,ニガウリ,ゴーヤー,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1030,モロヘイヤ,モロヘイヤ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1031,みょうが,ミョウガ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1032,かぼちゃ,カボチャ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1033,たまねぎ,タマネギ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1034,じゃがいも,ジャガイモ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1035,茶,チャ,新茶,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1036,あいなめ,アイナメ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1037,かつお,カツオ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1038,まあじ,マアジ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1039,しまあじ,シマアジ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1040,たちうお,タチウオ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1041,こい,コイ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1042,にじます,ニジマス,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1043,あゆ,アユ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1044,あなご,アナゴ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1045,うなぎ,ウナギ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,本来の旬は晩秋から冬だが、出荷量は土用の丑の日が年間最多となる。
http://databasediv.com/foods/resource/#1046,するめいか,スルメイカ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1047,はも,ハモ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1048,すずき,スズキ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1049,あわび,アワビ,,http://databasediv.com/foods/resource/#夏,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,
http://databasediv.com/foods/resource/#1050,かき,カキ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1051,くり,クリ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1052,いちじく,イチジク,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1053,ぶどう,ブドウ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1054,なし,ナシ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1055,りんご,リンゴ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1056,あけび,アケビ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1057,めろん,メロン,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1058,れんこん,レンコン,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1059,かぶ,カブ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1060,にんじん,ニンジン,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1061,レタス,レタス,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1062,さつまいも,サツマイモ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1063,コメ,コメ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1064,まつたけ,マツタケ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1065,しいたけ,シイタケ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1066,しめじ,シメジ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1067,まいたけ,マイタケ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1068,さんま,サンマ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1069,さば,サバ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1070,さけ,サケ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1071,ししゃも,シシャモ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1072,ほっけ,ホッケ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1073,かつお,カツオ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1074,かき,カキ,,http://databasediv.com/foods/resource/#秋,,,,,,,,,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,
http://databasediv.com/foods/resource/#1075,はくさい,ハクサイ,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
http://databasediv.com/foods/resource/#1076,みかん,ミカン,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
http://databasediv.com/foods/resource/#1077,だいこん,ダイコン,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
http://databasediv.com/foods/resource/#1078,ごぼう,ゴボウ,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
http://databasediv.com/foods/resource/#1079,さといも,サトイモ,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
http://databasediv.com/foods/resource/#1080,りんご,リンゴ,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
http://databasediv.com/foods/resource/#1081,えのきたけ,エノキタケ,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
http://databasediv.com/foods/resource/#1082,たら,タラ,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
http://databasediv.com/foods/resource/#1083,ぶり,ブリ,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
http://databasediv.com/foods/resource/#1084,あんこう,アンコウ,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
http://databasediv.com/foods/resource/#1085,ひらめ,ヒラメ,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
http://databasediv.com/foods/resource/#1086,かに,カニ,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
http://databasediv.com/foods/resource/#1087,あまえび,アマエビ,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
http://databasediv.com/foods/resource/#1088,ふぐ,フグ,,http://databasediv.com/foods/resource/#冬,http://databasediv.com/foods/resource/#旬,http://databasediv.com/foods/resource/#旬,,,,,,,,,,http://databasediv.com/foods/resource/#旬,
